"Rk","Team","G","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","team_pts40","winP","AST40","TOV40","STL40","BLK40","TRB40","ORB40","DRB40"
1,"Milwaukee Bucks",82,19780,3555,7471,0.476,1105,3134,0.353,2450,4337,0.565,1471,1904,0.773,762,3316,4078,2136,615,486,1137,1608,9686,19.587462082912,73.1707317073171,4.31951466127401,2.29929221435794,1.24368048533873,0.982810920121335,8.24671385237614,1.54095045500506,6.70576339737108
2,"Golden State Warriors",82,19805,3612,7361,0.491,1087,2824,0.385,2525,4537,0.557,1339,1672,0.801,797,2990,3787,2413,625,525,1169,1757,9650,19.490027770765,69.5121951219512,4.87351678868972,2.36101994445847,1.26230749810654,1.06033829840949,7.64857359252714,1.60969452158546,6.03887907094168
3,"New Orleans Pelicans",82,19755,3581,7563,0.473,842,2449,0.344,2739,5114,0.536,1462,1921,0.761,909,2969,3878,2216,610,441,1215,1732,9466,19.1667932169071,70.7317073170732,4.48696532523412,2.46013667425968,1.23513034674766,0.892938496583144,7.85218931915971,1.84054669703872,6.01164262212098
4,"Philadelphia 76ers",82,19805,3407,7233,0.471,889,2474,0.359,2518,4759,0.529,1742,2258,0.771,892,3025,3917,2207,606,432,1223,1745,9445,19.075990911386,60.9756097560976,4.45746023731381,2.47008331229488,1.2239333501641,0.87250694269124,7.9111335521333,1.80156526129765,6.10956829083565
5,"Los Angeles Clippers",82,19830,3384,7178,0.471,821,2118,0.388,2563,5060,0.507,1853,2340,0.792,796,2936,3732,1970,561,385,1193,1913,9442,19.0458900655572,64.6341463414634,3.97377710539586,2.40645486636409,1.13161875945537,0.776601109430156,7.52798789712557,1.60564800806858,5.92233988905698
6,"Portland Trail Blazers",82,19855,3470,7427,0.467,904,2520,0.359,2566,4907,0.523,1558,1914,0.814,967,2968,3935,1887,546,413,1135,1669,9402,18.9413246033745,64.6341463414634,3.80156131956686,2.28657768823974,1.09997481742634,0.832032233694284,7.927474187862,1.9481238982624,5.9793502895996
7,"Oklahoma City Thunder",82,19855,3497,7706,0.454,932,2677,0.348,2565,5029,0.51,1461,2049,0.713,1031,2911,3942,1917,766,425,1145,1839,9387,18.9111055149836,65.8536585365854,3.86199949634853,2.30672374716696,1.54318811382523,0.85620750440695,7.94157642911105,2.07705867539663,5.86451775371443
8,"Toronto Raptors",82,19880,3460,7305,0.474,1015,2771,0.366,2445,4534,0.539,1449,1803,0.804,786,2920,3706,2085,680,437,1150,1724,9384,18.8812877263581,59.7560975609756,4.19517102615694,2.31388329979879,1.3682092555332,0.879275653923541,7.45674044265594,1.58148893360161,5.87525150905433
9,"Sacramento Kings",82,19730,3541,7637,0.464,927,2455,0.378,2614,5182,0.504,1354,1865,0.726,906,2819,3725,2083,679,363,1095,1751,9363,18.9822605169792,59.7560975609756,4.22301064368981,2.21996958945768,1.37658388241257,0.735935124176381,7.55195134313229,1.83679675620882,5.71515458692347
10,"Washington Wizards",82,19930,3456,7387,0.468,930,2731,0.341,2526,4656,0.543,1508,1963,0.768,794,2679,3473,2154,683,379,1154,1701,9350,18.7656798795785,58.5365853658537,4.32313095835424,2.31610637230306,1.37079779227296,0.760662318113397,6.97039638735574,1.59357752132464,5.37681886603111
11,"Houston Rockets",82,19830,3218,7163,0.449,1323,3721,0.356,1895,3442,0.551,1582,2001,0.791,836,2613,3449,1741,700,405,1094,1803,9341,18.8421583459405,62.1951219512195,3.51185073121533,2.20675743822491,1.41200201714574,0.816944024205749,6.95713565305093,1.68633383761977,5.27080181543116
12,"Atlanta Hawks",82,19855,3392,7524,0.451,1067,3034,0.352,2325,4490,0.518,1443,1918,0.752,955,2825,3780,2118,675,419,1397,1932,9294,18.7237471669605,58.5365853658537,4.2669352807857,2.81440443213296,1.35985897758751,0.844119869050617,7.61521027449005,1.92394862754974,5.69126164694032
13,"Minnesota Timberwolves",82,19830,3413,7483,0.456,827,2357,0.351,2586,5126,0.504,1570,1995,0.787,923,2750,3673,2018,683,411,1074,1664,9223,18.6041351487645,58.5365853658537,4.07060010085729,2.16641452344932,1.37771053958649,0.829046898638427,7.40897629853757,1.8618255168936,5.54715078164397
14,"Boston Celtics",82,19780,3451,7423,0.465,1032,2829,0.365,2419,4594,0.527,1282,1598,0.802,804,2849,3653,2155,706,435,1052,1670,9216,18.6370070778564,51.219512195122,4.35793731041456,2.12740141557128,1.42770475227503,0.879676440849343,7.38725985844287,1.62588473205258,5.76137512639029
15,"Brooklyn Nets",82,19980,3301,7358,0.449,1047,2965,0.353,2254,4393,0.513,1555,2088,0.745,900,2919,3819,1954,539,339,1236,1763,9204,18.4264264264264,51.219512195122,3.91191191191191,2.47447447447447,1.07907907907908,0.678678678678679,7.64564564564565,1.8018018018018,5.84384384384384
16,"Los Angeles Lakers",82,19780,3491,7425,0.47,847,2541,0.333,2644,4884,0.541,1336,1910,0.699,835,2985,3820,2096,618,440,1284,1701,9165,18.5338725985844,47.5609756097561,4.23862487360971,2.59656218402427,1.24974721941355,0.889787664307381,7.72497472194135,1.68857431749242,6.03640040444894
17,"Utah Jazz",82,19755,3314,7082,0.468,993,2789,0.356,2321,4293,0.541,1540,2092,0.736,820,2981,3801,2133,663,483,1240,1728,9161,18.5492280435333,50,4.31890660592255,2.51075677043786,1.34244495064541,0.977980258162491,7.6962794229309,1.66033915464439,6.03594026828651
18,"San Antonio Spurs",82,19805,3468,7248,0.478,812,2071,0.392,2656,5177,0.513,1408,1720,0.819,757,2910,3667,2013,501,386,992,1487,9156,18.4922999242616,47.5609756097561,4.06563998990154,2.0035344609947,1.0118656904822,0.779601110830598,7.40621055289068,1.52890684170664,5.87730371118404
19,"Charlotte Hornets",82,19830,3297,7362,0.448,977,2783,0.351,2320,4579,0.507,1510,1895,0.797,814,2778,3592,1905,591,405,1001,1550,9081,18.3177004538578,40.2439024390244,3.84266263237519,2.01916288451841,1.19213313161876,0.816944024205749,7.24558749369642,1.64195663136662,5.6036308623298
20,"Denver Nuggets",82,19730,3439,7384,0.466,903,2571,0.351,2536,4813,0.527,1294,1714,0.755,972,2832,3804,2245,634,363,1102,1644,9075,18.3983781044095,43.9024390243902,4.55144450076026,2.2341611758743,1.28535225544856,0.735935124176381,7.71211353269133,1.97060314242271,5.74151039026863
21,"Dallas Mavericks",82,19780,3182,7122,0.447,1022,3002,0.34,2160,4120,0.524,1541,2076,0.742,832,2884,3716,1918,533,351,1167,1650,8927,18.0525783619818,40.2439024390244,3.87866531850354,2.35995955510617,1.0778564206269,0.709807886754297,7.51466127401416,1.68250758341759,5.83215369059656
22,"Indiana Pacers",82,19705,3390,7135,0.475,779,2081,0.374,2611,5054,0.517,1298,1727,0.752,762,2766,3528,2128,713,404,1122,1594,8857,17.9791930981984,47.5609756097561,4.31971580817051,2.27759451915757,1.44734838873382,0.820096422227861,7.16163410301954,1.54681552905354,5.614818573966
23,"Phoenix Suns",82,19880,3289,7164,0.459,790,2400,0.329,2499,4764,0.525,1447,1858,0.779,748,2563,3311,1957,735,418,1279,1932,8815,17.7364185110664,45.1219512195122,3.93762575452716,2.57344064386318,1.47887323943662,0.841046277665996,6.66197183098592,1.50503018108652,5.1569416498994
24,"Orlando Magic",82,19780,3316,7307,0.454,937,2633,0.356,2379,4674,0.509,1231,1575,0.782,822,2902,3724,2095,543,445,1082,1526,8800,17.7957532861476,40.2439024390244,4.2366026289181,2.18806875631951,1.09807886754297,0.89989888776542,7.53083923154702,1.66228513650152,5.8685540950455
25,"Detroit Pistons",82,19855,3185,7238,0.44,993,2854,0.348,2192,4384,0.5,1415,1893,0.747,936,2752,3688,1845,569,331,1135,1811,8778,17.6842105263158,39.0243902439024,3.71694787207253,2.28657768823974,1.14631075295895,0.66683455049106,7.42986653235961,1.88567111558801,5.54419541677159
26,"Miami Heat",82,19730,3251,7218,0.45,928,2658,0.349,2323,4560,0.509,1238,1782,0.695,921,2879,3800,1991,627,448,1208,1712,8668,17.5732387227572,35.3658536585366,4.03649265078561,2.44906234161176,1.27116066903193,0.908261530663964,7.70400405473898,1.86720729853016,5.83679675620882
27,"Chicago Bulls",82,19905,3266,7205,0.453,745,2123,0.351,2521,5082,0.496,1328,1695,0.783,718,2799,3517,1796,603,351,1159,1663,8605,17.2921376538558,26.8292682926829,3.60914343129867,2.32906304948505,1.21175584024115,0.705350414468726,7.06757096206983,1.44285355438332,5.62471740768651
28,"New York Knicks",82,19780,3134,7241,0.433,823,2421,0.34,2311,4820,0.479,1484,1956,0.759,857,2811,3668,1646,557,422,1151,1713,8575,17.3407482305359,23.1707317073171,3.32861476238625,2.32760364004044,1.12639029322548,0.853387259858443,7.41759352881699,1.73306370070779,5.6845298281092
29,"Cleveland Cavaliers",82,19755,3189,7184,0.444,847,2388,0.355,2342,4796,0.488,1342,1694,0.792,879,2619,3498,1698,534,195,1106,1642,8567,17.3464945583397,20.7317073170732,3.43811693242217,2.2394330549228,1.08124525436598,0.394836750189825,7.08276385725133,1.77980258162491,5.30296127562642
30,"Memphis Grizzlies",82,19880,3113,6924,0.45,811,2368,0.342,2302,4556,0.505,1453,1882,0.772,723,2703,3426,1963,684,448,1147,1801,8490,17.0824949698189,23.1707317073171,3.94969818913481,2.30784708249497,1.37625754527163,0.901408450704225,6.89336016096579,1.45472837022133,5.43863179074447
